RU;94;1351;TransparentCalls;0.94;706;63;9
US;7;65;E-Voice;0.82;966;55;37
GB;50;1337;TransparentCalls;0.71;587;30;46
FR;87;1650;TransparentCalls;0.67;402;48;44
BL;47;909;E-Voice;0.67;481;21;35
AT;89;1608;TransparentCalls;0.65;184;35;31
BG;54;228;E-Voice;0.82;188;20;35
DK;8;223;JustPhone;0.77;973;37;17
CA;92;259;JustPhone;0.66;421;86;57
ES;48;158;E-Voice;0.60;326;41;9
CH;13;475;JustPhone;0.96;762;85;27
TR;90;1938;TransparentCalls;0.92;29;38;36
PE;86;780;JustPhone;1.00;464;19;41
NZ;51;1580;JustPhone;0.65;431;74;46
MC;36;1637;E-Voice;0.85;559;48;9
