RU;43;775;TransparentCalls;0.89;732;28;35
US;62;1665;E-Voice;0.76;88;72;16
GB;17;1741;TransparentCalls;0.77;285;78;49
FR;58;722;TransparentCalls;0.83;330;91;14
BL;12;1447;E-Voice;0.71;423;14;36
AT;81;1016;TransparentCalls;0.68;776;13;11
BG;16;758;E-Voice;0.94;670;14;37
DK;40;1572;JustPhone;0.74;171;66;48
CA;51;1726;JustPhone;0.73;500;88;5
ES;65;1555;E-Voice;0.71;177;72;39
CH;0;482;JustPhone;0.80;723;56;57
TR;33;1939;TransparentCalls;0.67;730;33;28
PE56207JustPhone;0.69;448;43;49
NZ;65;1915;JustPhone;0.76;759;59;37
MC;32;1765;E-Voice;0.78;124;41;18
