RU;80;1965;TransparentCalls;0.84;135;9;7
US;33;381;E-Voice;0.74;678;89;55
GB;42;1429;TransparentCalls;0.76;426;7;7
FR;71;874;TransparentCalls;0.87;662;62;12
BL;8;1870;E-Voice;0.77;950;70;20
AT;62;205;TransparentCalls;0.68;240;85;38
BG;44;394;E-Voice;0.95;928;65;15
DK;12;1840;JustPhone;0.80;163;77;23
CA;42;821;JustPhone;0.61;823;30;19
ES;52;1055;E-Voice;0.75;86;10;52
CH;71;313;JustPhone;0.65;34;44;45
TR;73;89;TransparentCalls;0.76;44;43;32
PE;91;1548;JustPhone;0.69;672;43;53
NZ;62;239;JustPhone;0.64;257;84;56
M59;972;E-Voice;0.92;402;65;16
