RU;96;41;TransparentCalls;0.79;351;81;25
US;35;1824;E-Voice;0.96;122;44;49
GB;28;1776;TransparentCalls;0.98;200;42;44
FR;64;1481;TransparentCalls;0.73;596;1;13
BL;56;1443;E-Voice;0.98;376;51;43
AT;35;802;TransparentCalls;0.70;660;17;17
BG;69;1509;E-Voice;0.64;226;49;8
DK;30;49;JustPhone;0.76;470;77;8
CA;5;1925;JustPhone;0.90;473;43;38
ES;55;875;E-Voice;0.80;339;81;35
CH;41;1801;JustPhone;0.96;188;39;9
TR;92;1684;TransparentCalls;0.69;682;45;56
PE;91;657;JustPhone;0.77;579;25;12
NZ;39;868;JustPhone;0.64;180;14;26
M22;614;E-Voice;0.62;106;1;10
